Date,EWU
2003-04-7,760.631
2003-04-8,748.006
2003-04-9,748.835
2003-04-10,745.983
2003-04-11,745.874
2003-04-14,755.807
2003-04-15,767.294
2003-04-16,758.250
2003-04-17,765.917
2003-04-18,765.917
2003-04-21,758.665
2003-04-22,771.330
2003-04-23,783.676
2003-04-24,777.127
2003-04-25,769.887
2003-04-28,783.353
2003-04-29,780.915
2003-04-30,784.601
2003-05-1,781.486
2003-05-2,792.510
2003-05-5,793.993
2003-05-6,809.526
2003-05-7,795.826
2003-05-8,787.190
2003-05-9,795.435
2003-05-12,803.259
2003-05-13,804.871
2003-05-14,806.395
2003-05-15,816.180
2003-05-16,824.450
2003-05-19,808.725
2003-05-20,814.082
2003-05-21,810.474
2003-05-22,816.543
2003-05-23,816.369
2003-05-26,816.743
2003-05-27,820.973
2003-05-28,833.124
2003-05-29,843.582
2003-05-30,830.188
2003-06-2,844.176
2003-06-3,839.509
2003-06-4,843.206
2003-06-5,850.940
2003-06-6,866.054
2003-06-9,853.517
2003-06-10,850.770
2003-06-11,868.413
2003-06-12,871.543
2003-06-13,865.083
2003-06-16,875.775
2003-06-17,888.449
2003-06-18,885.828
2003-06-19,869.218
2003-06-20,869.905
2003-06-23,855.292
2003-06-24,847.905
2003-06-25,854.976
2003-06-26,843.959
2003-06-27,843.357
2003-06-30,835.794
2003-07-1,827.834
2003-07-2,838.036
2003-07-3,846.609
2003-07-4,843.351
2003-07-7,845.876
2003-07-8,838.568
2003-07-9,831.785
2003-07-10,826.014
2003-07-11,832.407
2003-07-14,842.765
2003-07-15,825.867
2003-07-16,817.827
2003-07-17,811.248
2003-07-18,811.099
2003-07-21,812.422
2003-07-22,821.208
2003-07-23,826.127
2003-07-24,842.047
2003-07-25,842.570
2003-07-28,847.308
2003-07-29,845.634
2003-07-30,841.821
2003-07-31,839.739
2003-08-1,828.650
2003-08-4,829.932
2003-08-5,832.537
2003-08-6,824.173
2003-08-7,832.021
2003-08-8,838.315
2003-08-11,840.356
2003-08-12,841.764
2003-08-13,844.361
2003-08-14,851.544
2003-08-15,850.738
2003-08-18,853.763
2003-08-19,846.948
2003-08-20,844.278
2003-08-21,839.899
2003-08-22,835.615
2003-08-25,836.306
2003-08-26,825.376
2003-08-27,832.023
2003-08-28,833.231
2003-08-29,828.204
2003-09-1,831.460
2003-09-2,831.946
2003-09-3,842.552
2003-09-4,845.305
2003-09-5,849.616
2003-09-8,856.915
2003-09-9,852.763
2003-09-10,850.408
2003-09-11,850.901
2003-09-12,855.133
2003-09-15,858.134
2003-09-16,859.278
2003-09-17,865.870
2003-09-18,877.000
2003-09-19,873.844
2003-09-22,876.914
2003-09-23,878.374
2003-09-24,882.873
2003-09-25,878.732
2003-09-26,867.981
2003-09-29,865.608
2003-09-30,855.780
2003-10-1,874.570
2003-10-2,884.314
2003-10-3,895.640
2003-10-6,897.617
2003-10-7,896.243
2003-10-8,891.472
2003-10-9,902.253
2003-10-10,903.497
2003-10-13,912.749
2003-10-14,908.024
2003-10-15,915.678
2003-10-16,916.662
2003-10-17,912.576
2003-10-20,915.521
2003-10-21,916.742
2003-10-22,909.578
2003-10-23,901.233
