Date,EEM
2000-09-18,390.598
2000-09-19,387.914
2000-09-20,392.506
2000-09-21,387.781
2000-09-22,377.620
2000-09-25,386.618
2000-09-26,385.838
2000-09-27,385.768
2000-09-28,385.666
2000-09-29,386.031
2000-10-02,380.939
2000-10-03,381.391
2000-10-04,380.762
2000-10-05,382.637
2000-10-06,383.286
2000-10-09,376.498
2000-10-10,374.481
2000-10-11,365.165
2000-10-12,358.274
2000-10-13,355.184
2000-10-16,358.603
2000-10-17,353.031
2000-10-18,346.356
2000-10-19,350.914
2000-10-20,358.513
2000-10-23,355.935
2000-10-24,359.640
2000-10-25,356.637
2000-10-26,355.091
2000-10-27,357.061
2000-10-30,354.291
2000-10-31,357.847
2000-11-01,363.263
2000-11-02,367.457
2000-11-03,369.449
2000-11-06,370.148
2000-11-07,372.385
2000-11-08,370.661
2000-11-09,367.108
2000-11-10,365.180
2000-11-13,353.952
2000-11-14,359.670
2000-11-15,360.146
2000-11-16,355.897
2000-11-17,353.965
2000-11-20,346.487
2000-11-21,346.741
2000-11-22,338.764
2000-11-23,334.762
2000-11-24,338.896
2000-11-27,343.230
2000-11-28,336.644
2000-11-29,332.622
2000-11-30,326.356
2000-12-01,329.308
2000-12-04,328.090
2000-12-05,338.077
2000-12-06,343.639
2000-12-07,342.541
2000-12-08,348.235
2000-12-11,351.644
2000-12-12,349.031
2000-12-13,349.464
2000-12-14,346.894
2000-12-15,340.919
2000-12-18,342.182
2000-12-19,339.987
2000-12-20,332.520
2000-12-21,328.502
2000-12-22,330.808
2000-12-25,331.141
2000-12-26,329.253
2000-12-27,329.994
2000-12-28,333.272
2000-12-29,333.793
2001-01-01,333.465
2001-01-02,333.346
2001-01-03,335.524
2001-01-04,347.233
2001-01-05,348.557
2001-01-08,348.118
2001-01-09,351.867
2001-01-10,349.458
2001-01-11,350.260
2001-01-12,353.228
2001-01-15,354.716
2001-01-16,356.386
2001-01-17,360.192
2001-01-18,365.015
2001-01-19,370.484
2001-01-22,370.359
2001-01-23,372.287
2001-01-24,371.816
2001-01-25,372.197
2001-01-26,370.789
2001-01-29,369.826
2001-01-30,373.274
2001-01-31,379.022
2001-02-01,377.639
2001-02-02,376.729
2001-02-05,370.331
2001-02-06,371.498
2001-02-07,365.506
2001-02-08,367.763
2001-02-09,368.177
2001-02-12,368.648
2001-02-13,370.428
2001-02-14,369.065
2001-02-15,372.708
2001-02-16,369.208
2001-02-19,365.833
2001-02-20,366.334
2001-02-21,357.031
2001-02-22,350.421
2001-02-23,348.087
2001-02-26,351.238
2001-02-27,350.099
2001-02-28,349.024
2001-03-01,347.337
2001-03-02,344.009
2001-03-05,345.752
2001-03-06,348.580
2001-03-07,349.526
2001-03-08,350.590
2001-03-09,346.433
2001-03-12,335.083
2001-03-13,332.023
2001-03-14,328.622
2001-03-15,328.959
2001-03-16,326.441
2001-03-19,323.248
2001-03-20,322.480
2001-03-21,322.223
2001-03-22,314.998
2001-03-23,317.194
2001-03-26,322.399
2001-03-27,321.878
2001-03-28,319.332
2001-03-29,313.616
2001-03-30,313.138
2001-04-02,308.075
2001-04-03,300.852
2001-04-04,297.011
2001-04-05,302.060
2001-04-06,304.976
2001-04-09,303.396
2001-04-10,306.427
2001-04-11,310.717
