Date,EZA
2006-09-20,356.355
2006-09-21,351.823
2006-09-22,347.951
2006-09-25,344.599
2006-09-26,351.274
2006-09-27,351.401
2006-09-28,352.483
2006-09-29,347.007
2006-10-2,348.911
2006-10-3,342.215
2006-10-4,336.111
2006-10-5,343.942
2006-10-6,345.063
2006-10-9,348.913
2006-10-10,351.512
2006-10-11,352.794
2006-10-12,359.281
2006-10-13,367.899
2006-10-16,372.337
2006-10-17,365.050
2006-10-18,368.842
2006-10-19,370.909
2006-10-20,371.804
2006-10-23,365.063
2006-10-24,366.404
2006-10-25,371.973
2006-10-26,373.561
2006-10-27,375.171
2006-10-30,372.706
2006-10-31,384.191
2006-11-1,390.121
2006-11-2,384.167
2006-11-3,389.486
